1;32;0;3;1;0;0;0;175;1
2;29;0;5;0;0;1;0;170;1
3;25;0;3;0;0;1;0;175;0
4;27;0;5;0;0;1;0;153;1
5;4;1;3;0;1;1;0;163;0
6;26;0;8;0;0;0;0;158;1
7;32;0;5;1;0;0;1;193;1
8;40;1;6;1;1;1;0;186;1
9;25;1;2;1;1;0;1;193;0
10;37;0;3;1;0;0;1;163;0
11;38;0;2;1;0;0;0;163;1
12;43;0;3;1;0;0;0;216;1
13;21;0;5;0;0;0;1;158;0
14;29;0;1;1;0;0;0;162;0
15;50;1;5;1;1;1;1;175;0
16;47;0;2;1;0;0;0;252;0
17;60;1;3;0;1;0;1;249;1
18;123;1;2;0;1;1;0;220;1
19;52;0;2;1;0;1;1;242;1
20;95;0;4;0;0;1;0;216;1
21;29;0;3;1;0;1;1;231;0
22;36;0;4;1;0;1;1;240;1
23;91;0;2;0;0;0;0;190;0
24;32;0;5;1;0;0;0;155;1
25;28;0;4;0;0;1;0;154;1
26;24;0;4;0;0;1;0;154;1
27;19;0;4;1;0;0;0;154;1
28;21;0;3;0;0;1;0;154;1
29;17;0;2;0;0;0;1;155;1
30;18;0;3;1;0;1;0;154;1
31;14;0;5;0;0;1;0;153;1
32;12;0;3;0;0;1;0;153;1
33;15;0;5;0;0;0;1;153;1
34;15;0;3;1;0;0;0;210;0
35;58;1;4;0;1;0;1;216;1
36;43;0;3;0;0;0;1;207;0
37;14;1;3;1;1;1;0;170;0
38;40;0;4;0;0;0;0;180;0
39;26;0;3;1;0;1;0;193;0
40;52;0;4;1;0;0;0;207;0
41;67;0;3;0;0;0;0;207;1
42;41;0;5;1;0;0;0;218;1
43;37;0;4;0;0;0;0;211;1
44;50;0;5;1;0;1;0;170;1
45;53;0;3;0;0;0;0;212;1
46;40;0;4;0;0;0;0;212;1
47;40;0;2;1;0;1;0;181;0
48;33;0;5;1;0;1;0;211;1
49;45;1;4;0;1;0;1;210;1
50;22;1;1;1;1;0;0;137;1
51;36;1;1;0;1;1;0;137;1
52;36;1;2;0;1;1;0;138;1
53;36;0;2;0;0;0;1;139;0
54;47;0;2;0;0;0;0;138;1
55;38;0;1;0;0;0;1;139;0
56;44;0;2;0;0;0;0;139;1
57;55;1;5;1;1;1;1;181;0
58;86;1;3;0;1;0;1;157;0
59;41;0;3;1;0;1;1;179;0
60;65;0;3;1;0;1;0;173;0
61;90;0;5;0;0;0;1;179;0
62;19;0;3;0;0;0;0;179;0
63;85;0;4;0;0;1;0;179;0
64;15;0;5;1;0;1;0;180;0
65;72;0;3;1;0;1;0;205;1
66;66;0;2;1;0;1;0;203;0
67;100;0;2;0;0;1;0;205;0
68;80;0;2;0;0;0;0;205;0
69;63;1;2;1;1;0;0;205;0
70;45;0;5;0;0;0;0;153;1
71;52;0;5;1;1;0;1;160;1
72;63;0;3;0;0;0;1;165;1
73;21;0;5;1;0;0;0;160;1
74;51;1;3;1;1;1;0;205;1
75;78;1;4;1;1;0;0;202;0
76;20;0;5;1;0;1;0;186;1
77;55;0;3;0;0;1;0;186;0
78;42;1;4;0;1;0;0;185;1
79;33;1;3;1;1;0;0;185;0
80;35;1;4;0;1;0;0;203;0
81;50;0;5;0;0;0;1;202;1
82;36;0;4;1;0;0;0;173;1
83;31;0;5;0;0;1;0;180;1
84;35;0;4;0;0;1;0;200;1
85;41;0;5;0;0;0;1;161;1
86;21;0;4;1;0;0;0;170;1
87;32;0;5;0;0;0;0;168;1
88;55;0;4;1;0;0;0;170;1
89;30;0;5;0;0;0;0;160;1
90;25;1;4;1;1;1;0;160;1
91;51;0;6;1;0;0;0;160;1
92;22;0;4;0;0;1;0;150;1
93;11;0;2;0;0;1;0;120;0
94;65;1;4;0;1;1;0;216;1
95;140;1;3;0;1;0;1;222;0
96;13;0;3;1;0;1;0;120;1
97;22;0;3;1;0;0;0;135;1
98;14;0;2;0;0;1;0;135;1
99;6;0;3;1;0;1;1;135;1
100;47;0;5;0;0;1;0;220;0
